product_id,product_name,category,stock_quantity,reorder_point,max_stock,unit_cost,unit_price,total_sales_6mo,sales_jan,sales_feb,sales_mar,sales_apr,sales_may,sales_jun,supplier,warehouse,lead_time_days,last_restock_date,last_sale_date,stock_status,turnover_ratio
PRD-1000,Cotton T-Shirt,Clothing,764,90,360,113.55,244.97,617,279,44,216,16,15,47,Alpine Goods,Warehouse E,3,2024-04-21,2024-04-29,Overstock,0.81
PRD-1001,Side Table,Furniture,434,76,456,295.65,665.88,695,3,81,216,174,142,79,EastWest Exports,Warehouse A,5,2024-04-20,2024-05-15,Normal,1.6
PRD-1002,Leather Journal,Books,372,108,756,134.1,168.49,1087,235,274,63,193,40,282,Pacific Imports,Warehouse C,21,2024-05-30,2024-06-26,Normal,2.92
PRD-1003,Dining Table,Furniture,51,189,756,387.09,960.29,924,119,51,194,142,232,186,EastWest Exports,Warehouse B,24,2024-03-24,2024-04-05,Critical,18.12
PRD-1004,Boxing Gloves,Sports,628,182,728,268.23,407.24,1131,236,194,138,285,112,166,TechGlobal Ltd,Warehouse B,29,2025-03-07,2025-04-01,Normal,1.8
PRD-1005,Gaming Console,Electronics,415,88,264,107.46,260.67,1033,161,108,255,202,234,73,MegaStore Inc,Warehouse E,20,2024-05-15,2024-05-20,Overstock,2.49
PRD-1006,Water Bottle,Sports,443,169,1014,182.59,455.84,708,70,260,252,46,24,56,Prime Supplies,Warehouse D,22,2024-03-19,2024-04-09,Normal,1.6
PRD-1007,Rain Coat,Clothing,395,172,1032,265.73,654.33,704,5,58,274,136,174,57,Prime Supplies,Warehouse D,3,2024-05-30,2024-06-13,Normal,1.78
PRD-1008,Skipping Rope,Sports,785,65,455,456.52,1064.46,863,152,259,101,78,191,82,Alpine Goods,Warehouse A,22,2024-10-03,2024-10-28,Overstock,1.1
PRD-1009,Card Game,Toys,24,48,240,439.66,1002.94,761,157,122,29,123,290,40,SunCoast Trading,Warehouse A,27,2024-02-13,2024-03-08,Low,31.71
PRD-1010,Spaghetti Pasta,Food,680,141,987,84.65,159.65,1065,216,108,276,102,159,204,EastWest Exports,Warehouse D,19,2024-12-09,2024-12-30,Normal,1.57
PRD-1011,Hand Saw,Tools,258,77,231,170.69,335.37,415,117,112,3,36,30,117,TechGlobal Ltd,Warehouse C,5,2024-02-04,2024-03-04,Overstock,1.61
PRD-1012,Coffee Table,Furniture,690,144,576,270.76,579.52,1403,292,295,242,124,242,208,FastShip Co,Warehouse D,14,2024-04-07,2024-04-11,Overstock,2.03
PRD-1013,Poetry Collection,Books,483,33,264,327.59,668.29,690,31,206,173,55,127,98,SunCoast Trading,Warehouse B,16,2024-04-07,2024-04-25,Overstock,1.43
PRD-1014,Dark Chocolate,Food,478,83,249,222.95,517.19,686,281,50,25,276,7,47,MegaStore Inc,Warehouse B,16,2025-01-20,2025-02-17,Overstock,1.44
PRD-1015,Extension Cord,Tools,223,122,366,84.41,101.53,1212,199,135,232,146,216,284,SunCoast Trading,Warehouse B,9,2024-12-04,2024-12-27,Normal,5.43
PRD-1016,Treadmill,Sports,996,34,238,368.52,471.43,1014,160,29,25,299,244,257,Prime Supplies,Warehouse A,19,2025-03-12,2025-03-29,Overstock,1.02
PRD-1017,Baseball Cap,Clothing,75,172,516,338.41,509.57,835,61,291,126,296,20,41,Pacific Imports,Warehouse E,19,2024-08-02,2024-08-24,Critical,11.13
PRD-1018,Rubiks Cube,Toys,214,191,1528,158.8,245.39,656,67,153,234,161,37,4,Pacific Imports,Warehouse A,5,2024-08-22,2024-09-11,Normal,3.07
PRD-1019,Ottoman,Furniture,276,53,265,440.72,1032.63,1070,189,145,80,224,278,154,Alpine Goods,Warehouse A,24,2024-11-09,2024-12-05,Overstock,3.88
PRD-1020,Cycling Helmet,Sports,966,54,270,59.92,80.24,927,283,79,139,144,107,175,QuickTrade,Warehouse E,18,2024-04-14,2024-05-06,Overstock,0.96
PRD-1021,Tennis Racket,Sports,99,182,1092,415.09,521.9,960,170,66,134,82,226,282,Alpine Goods,Warehouse A,6,2024-12-27,2025-01-10,Low,9.7
PRD-1022,Summer Dress,Clothing,563,29,145,292.29,407.02,632,65,21,157,186,20,183,MegaStore Inc,Warehouse A,14,2024-04-17,2024-05-09,Overstock,1.12
PRD-1023,Programming Guide,Books,772,59,236,432.63,1068.19,784,90,211,12,91,170,210,MegaStore Inc,Warehouse C,8,2025-02-14,2025-03-08,Overstock,1.02
PRD-1024,Rain Coat,Clothing,898,29,174,113.16,255.92,812,235,179,156,116,114,12,Nordic Supply,Warehouse C,11,2024-12-03,2024-12-10,Overstock,0.9
PRD-1025,Hoodie,Clothing,364,184,1288,201.34,498.42,740,274,169,14,59,133,91,TechGlobal Ltd,Warehouse A,22,2024-10-24,2024-11-02,Normal,2.03
PRD-1026,Finance Guide,Books,751,100,600,304.08,567.06,964,197,295,97,130,22,223,Alpine Goods,Warehouse B,14,2024-01-01,2024-01-18,Overstock,1.28
PRD-1027,Manga Volume,Books,976,190,950,312.51,644.52,1009,63,153,259,158,209,167,QuickTrade,Warehouse E,7,2024-07-25,2024-08-17,Overstock,1.03
PRD-1028,Folding Chair,Furniture,685,117,936,374.69,534.4,1087,291,154,207,280,0,155,Nordic Supply,Warehouse E,22,2024-05-26,2024-06-02,Normal,1.59
PRD-1029,Science Kit,Toys,457,133,1064,108.81,197.51,755,86,43,145,263,171,47,MegaStore Inc,Warehouse C,10,2025-02-23,2025-03-20,Normal,1.65
PRD-1030,Bookshelf,Furniture,30,31,124,492.0,981.37,1071,37,233,212,294,99,196,MegaStore Inc,Warehouse B,23,2024-09-10,2024-09-23,Low,35.7
PRD-1031,"Tablet 10""",Electronics,802,128,512,90.0,220.08,1001,265,237,25,285,127,62,SunCoast Trading,Warehouse E,20,2024-08-21,2024-08-26,Overstock,1.25
